Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Domains
Q7Z7G1	CLNK_HUMAN	reviewed	Cytokine-dependent hematopoietic cell linker (Mast cell immunoreceptor signal transducer)	CLNK MIST	Homo sapiens (Human)	428	SH2 domain (1)
P46109	CRKL_HUMAN	reviewed	Crk-like protein	CRKL	Homo sapiens (Human)	303	SH2 domain (1); SH3 domains (2)
P46108	CRK_HUMAN	reviewed	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	Homo sapiens (Human)	304	SH2 domain (1); SH3 domains (2)
P41240	CSK_HUMAN	reviewed	Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)	CSK	Homo sapiens (Human)	450	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q9UN19	DAPP1_HUMAN	reviewed	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (hDAPP1) (B lymphocyte adapter protein Bam32) (B-cell adapter molecule of 32 kDa)	DAPP1 BAM32 HSPC066	Homo sapiens (Human)	280	PH domain (1); SH2 domain (1)
P16591	FER_HUMAN	reviewed	Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer)	FER TYK3	Homo sapiens (Human)	822	FCH domain (1); Protein kinase domain (1); SH2 domain (1)
P07332	FES_HUMAN	reviewed	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS	Homo sapiens (Human)	822	FCH domain (1); Protein kinase domain (1); SH2 domain (1)
P09769	FGR_HUMAN	reviewed	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)	FGR SRC2	Homo sapiens (Human)	529	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P42685	FRK_HUMAN	reviewed	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK	Homo sapiens (Human)	505	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P06241	FYN_HUMAN	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
O75791	GRAP2_HUMAN	reviewed	GRB2-related adapter protein 2 (Adapter protein GRID) (GRB-2-like protein) (GRB2L) (GRBLG) (GRBX) (Grf40 adapter protein) (Grf-40) (Growth factor receptor-binding protein) (Hematopoietic cell-associated adapter protein GrpL) (P38) (Protein GADS) (SH3-SH2-SH3 adapter Mona)	GRAP2 GADS GRB2L GRID	Homo sapiens (Human)	330	SH2 domain (1); SH3 domains (2)
Q8TC17	GRAPL_HUMAN	reviewed	GRB2-related adapter protein-like	GRAPL	Homo sapiens (Human)	118	SH2 domain (1); SH3 domain (1)
Q13588	GRAP_HUMAN	reviewed	GRB2-related adapter protein	GRAP	Homo sapiens (Human)	217	SH2 domain (1); SH3 domains (2)
Q13322	GRB10_HUMAN	reviewed	Growth factor receptor-bound protein 10 (GRB10 adapter protein) (Insulin receptor-binding protein Grb-IR)	GRB10 GRBIR KIAA0207	Homo sapiens (Human)	594	PH domain (1); Ras-associating domain (1); SH2 domain (1)
Q14449	GRB14_HUMAN	reviewed	Growth factor receptor-bound protein 14 (GRB14 adapter protein)	GRB14	Homo sapiens (Human)	540	PH domain (1); Ras-associating domain (1); SH2 domain (1)
P62993	GRB2_HUMAN	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	SH2 domain (1); SH3 domains (2)
Q14451	GRB7_HUMAN	reviewed	Growth factor receptor-bound protein 7 (B47) (Epidermal growth factor receptor GRB-7) (GRB7 adapter protein)	GRB7	Homo sapiens (Human)	532	PH domain (1); Ras-associating domain (1); SH2 domain (1)
P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q96JZ2	HSH2D_HUMAN	reviewed	Hematopoietic SH2 domain-containing protein (Hematopoietic SH2 protein) (Adaptor in lymphocytes of unknown function X)	HSH2D ALX	Homo sapiens (Human)	352	SH2 domain (1)
Q08881	ITK_HUMAN	reviewed	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	Homo sapiens (Human)	620	Btk-type zinc finger (1); PH domain (1); Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P23458	JAK1_HUMAN	reviewed	Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)	JAK1 JAK1A JAK1B	Homo sapiens (Human)	1154	FERM domain (1); Protein kinase domains (2); SH2 domain (1)
O60674	JAK2_HUMAN	reviewed	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	JAK2	Homo sapiens (Human)	1132	FERM domain (1); Protein kinase domains (2); SH2 domain (1)
P52333	JAK3_HUMAN	reviewed	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	JAK3	Homo sapiens (Human)	1124	FERM domain (1); Protein kinase domains (2); SH2 domain (1)
P43405	KSYK_HUMAN	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	Protein kinase domain (1); SH2 domains (2)
P06239	LCK_HUMAN	reviewed	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q13094	LCP2_HUMAN	reviewed	Lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76)	LCP2	Homo sapiens (Human)	533	SAM (sterile alpha motif) domain (1); SH2 domain (1)
P07948	LYN_HUMAN	reviewed	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	Homo sapiens (Human)	512	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P42679	MATK_HUMAN	reviewed	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	507	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P16333	NCK1_HUMAN	reviewed	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377	SH2 domain (1); SH3 domains (3)
O43639	NCK2_HUMAN	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	380	SH2 domain (1); SH3 domains (3)
Q92569	P55G_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	PIK3R3	Homo sapiens (Human)	461	SH2 domains (2)
P27986	P85A_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1 GRB1	Homo sapiens (Human)	724	Rho-GAP domain (1); SH2 domains (2); SH3 domain (1)
O00459	P85B_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PIK3R2	Homo sapiens (Human)	728	Rho-GAP domain (1); SH2 domains (2); SH3 domain (1)
P19174	PLCG1_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	Homo sapiens (Human)	1290	C2 domain (1); EF-hand domain (1); PH domains (2); PI-PLC X-box domain (1); PI-PLC Y-box domain (1); SH2 domains (2); SH3 domain (1)
P16885	PLCG2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-2) (Phospholipase C-IV) (PLC-IV) (Phospholipase C-gamma-2) (PLC-gamma-2)	PLCG2	Homo sapiens (Human)	1265	C2 domain (1); PH domain (1); PI-PLC X-box domain (1); PI-PLC Y-box domain (1); SH2 domains (2); SH3 domain (1)
Q13882	PTK6_HUMAN	reviewed	Protein-tyrosine kinase 6 (EC 2.7.10.2) (Breast tumor kinase) (Tyrosine-protein kinase BRK)	PTK6 BRK	Homo sapiens (Human)	451	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q06124	PTN11_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	597	SH2 domains (2); Tyrosine-protein phosphatase domain (1)
P29350	PTN6_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)	PTPN6 HCP PTP1C	Homo sapiens (Human)	595	SH2 domains (2); Tyrosine-protein phosphatase domain (1)
P20936	RASA1_HUMAN	reviewed	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 RASA	Homo sapiens (Human)	1047	C2 domain (1); PH domain (1); Ras-GAP domain (1); SH2 domains (2); SH3 domain (1)
Q13671	RIN1_HUMAN	reviewed	Ras and Rab interactor 1 (Ras inhibitor JC99) (Ras interaction/interference protein 1)	RIN1	Homo sapiens (Human)	783	Ras-associating domain (1); SH2 domain (1); VPS9 domain (1)
Q8WYP3	RIN2_HUMAN	reviewed	Ras and Rab interactor 2 (Ras association domain family 4) (Ras inhibitor JC265) (Ras interaction/interference protein 2)	RIN2 RASSF4	Homo sapiens (Human)	895	Ras-associating domain (1); SH2 domain (1); VPS9 domain (1)
Q8TB24	RIN3_HUMAN	reviewed	Ras and Rab interactor 3 (Ras interaction/interference protein 3)	RIN3	Homo sapiens (Human)	985	Ras-associating domain (1); SH2 domain (1); VPS9 domain (1)
O60880	SH21A_HUMAN	reviewed	SH2 domain-containing protein 1A (Duncan disease SH2-protein) (Signaling lymphocytic activation molecule-associated protein) (SLAM-associated protein) (T-cell signal transduction molecule SAP)	SH2D1A DSHP SAP	Homo sapiens (Human)	128	SH2 domain (1)
O14796	SH21B_HUMAN	reviewed	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2	Homo sapiens (Human)	132	SH2 domain (1)
Q9NP31	SH22A_HUMAN	reviewed	SH2 domain-containing protein 2A (SH2 domain-containing adapter protein) (T cell-specific adapter protein) (TSAd) (VEGF receptor-associated protein)	SH2D2A SCAP TSAD VRAP	Homo sapiens (Human)	389	SH2 domain (1)
Q9BRG2	SH23A_HUMAN	reviewed	SH2 domain-containing protein 3A (Novel SH2-containing protein 1)	SH2D3A NSP1 UNQ175/PRO201	Homo sapiens (Human)	576	SH2 domain (1)
Q9H788	SH24A_HUMAN	reviewed	SH2 domain-containing protein 4A (Protein SH(2)A)	SH2D4A SH2A	Homo sapiens (Human)	454	SH2 domain (1)
Q5SQS7	SH24B_HUMAN	reviewed	SH2 domain-containing protein 4B	SH2D4B	Homo sapiens (Human)	431	SH2 domain (1)
Q9NRF2	SH2B1_HUMAN	reviewed	SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)	SH2B1 KIAA1299 SH2B	Homo sapiens (Human)	756	PH domain (1); SH2 domain (1)
O14492	SH2B2_HUMAN	reviewed	SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS)	SH2B2 APS	Homo sapiens (Human)	632	PH domain (1); SH2 domain (1)
Q9UQQ2	SH2B3_HUMAN	reviewed	SH2B adapter protein 3 (Lymphocyte adapter protein) (Lymphocyte-specific adapter protein Lnk) (Signal transduction protein Lnk)	SH2B3 LNK	Homo sapiens (Human)	575	PH domain (1); SH2 domain (1)
Q8N5H7	SH2D3_HUMAN	reviewed	SH2 domain-containing protein 3C (Novel SH2-containing protein 3)	SH2D3C NSP3 UNQ272/PRO309/PRO34088	Homo sapiens (Human)	860	Ras-GEF domain (1); SH2 domain (1)
Q6ZV89	SH2D5_HUMAN	reviewed	SH2 domain-containing protein 5	SH2D5	Homo sapiens (Human)	423	SH2 domain (1)
Q7Z4S9	SH2D6_HUMAN	reviewed	SH2 domain-containing protein 6	SH2D6	Homo sapiens (Human)	175	SH2 domain (1)
A6NKC9	SH2D7_HUMAN	reviewed	SH2 domain-containing protein 7	SH2D7	Homo sapiens (Human)	451	SH2 domain (1)
Q15464	SHB_HUMAN	reviewed	SH2 domain-containing adapter protein B	SHB	Homo sapiens (Human)	509	SH2 domain (1)
P29353	SHC1_HUMAN	reviewed	SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)	SHC1 SHC SHCA	Homo sapiens (Human)	583	PID domain (1); SH2 domain (1)
P98077	SHC2_HUMAN	reviewed	SHC-transforming protein 2 (Protein Sck) (SHC-transforming protein B) (Src homology 2 domain-containing-transforming protein C2) (SH2 domain protein C2)	SHC2 SCK SHCB	Homo sapiens (Human)	582	PID domain (1); SH2 domain (1)
Q92529	SHC3_HUMAN	reviewed	SHC-transforming protein 3 (Neuronal Shc) (N-Shc) (Protein Rai) (SHC-transforming protein C) (Src homology 2 domain-containing-transforming protein C3) (SH2 domain protein C3)	SHC3 NSHC SHCC	Homo sapiens (Human)	594	PID domain (1); SH2 domain (1)
Q6S5L8	SHC4_HUMAN	reviewed	SHC-transforming protein 4 (Rai-like protein) (RaLP) (SHC-transforming protein D) (hShcD) (Src homology 2 domain-containing-transforming protein C4) (SH2 domain protein C4)	SHC4 SHCD UNQ6438/PRO21364	Homo sapiens (Human)	630	PID domain (1); SH2 domain (1)
Q96IW2	SHD_HUMAN	reviewed	SH2 domain-containing adapter protein D	SHD	Homo sapiens (Human)	340	SH2 domain (1)
Q5VZ18	SHE_HUMAN	reviewed	SH2 domain-containing adapter protein E	SHE	Homo sapiens (Human)	495	SH2 domain (1)
Q7M4L6	SHF_HUMAN	reviewed	SH2 domain-containing adapter protein F	SHF	Homo sapiens (Human)	423	SH2 domain (1)
Q92835	SHIP1_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)	INPP5D SHIP SHIP1	Homo sapiens (Human)	1189	SH2 domain (1)
O15357	SHIP2_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)	INPPL1 SHIP2	Homo sapiens (Human)	1258	SAM (sterile alpha motif) domain (1); SH2 domain (1)
Q13239	SLAP1_HUMAN	reviewed	Src-like-adapter (Src-like-adapter protein 1) (SLAP-1) (hSLAP)	SLA SLAP SLAP1	Homo sapiens (Human)	276	SH2 domain (1); SH3 domain (1)
Q9H6Q3	SLAP2_HUMAN	reviewed	Src-like-adapter 2 (Modulator of antigen receptor signaling) (MARS) (Src-like adapter protein 2) (SLAP-2)	SLA2 C20orf156 SLAP2	Homo sapiens (Human)	261	SH2 domain (1); SH3 domain (1)
O15524	SOCS1_HUMAN	reviewed	Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3)	SOCS1 SSI1 TIP3	Homo sapiens (Human)	211	SH2 domain (1); SOCS box domain (1)
O14508	SOCS2_HUMAN	reviewed	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2)	SOCS2 CIS2 SSI2 STATI2	Homo sapiens (Human)	198	SH2 domain (1); SOCS box domain (1)
O14543	SOCS3_HUMAN	reviewed	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3)	SOCS3 CIS3 SSI3	Homo sapiens (Human)	225	SH2 domain (1); SOCS box domain (1)
Q8WXH5	SOCS4_HUMAN	reviewed	Suppressor of cytokine signaling 4 (SOCS-4) (Suppressor of cytokine signaling 7) (SOCS-7)	SOCS4 SOCS7	Homo sapiens (Human)	440	SH2 domain (1); SOCS box domain (1)
O75159	SOCS5_HUMAN	reviewed	Suppressor of cytokine signaling 5 (SOCS-5) (Cytokine-inducible SH2 protein 6) (CIS-6) (Cytokine-inducible SH2-containing protein 5)	SOCS5 CIS6 CISH5 CISH6 KIAA0671	Homo sapiens (Human)	536	SH2 domain (1); SOCS box domain (1)
O14544	SOCS6_HUMAN	reviewed	Suppressor of cytokine signaling 6 (SOCS-6) (Cytokine-inducible SH2 protein 4) (CIS-4) (Suppressor of cytokine signaling 4) (SOCS-4)	SOCS6 CIS4 SOCS4	Homo sapiens (Human)	535	SH2 domain (1); SOCS box domain (1)
O14512	SOCS7_HUMAN	reviewed	Suppressor of cytokine signaling 7 (SOCS-7) (Nck, Ash and phospholipase C gamma-binding protein) (Nck-associated protein 4) (NAP-4)	SOCS7 NAP4 SOCS6	Homo sapiens (Human)	581	SH2 domain (1); SOCS box domain (1)
Q7KZ85	SPT6H_HUMAN	reviewed	Transcription elongation factor SPT6 (hSPT6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	1726	S1 motif domain (1); SH2 domain (1)
P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q9H3Y6	SRMS_HUMAN	reviewed	Tyrosine-protein kinase Srms (EC 2.7.10.2)	SRMS C20orf148	Homo sapiens (Human)	488	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P42229	STA5A_HUMAN	reviewed	Signal transducer and activator of transcription 5A	STAT5A STAT5	Homo sapiens (Human)	794	SH2 domain (1)
P51692	STA5B_HUMAN	reviewed	Signal transducer and activator of transcription 5B	STAT5B	Homo sapiens (Human)	787	SH2 domain (1)
Q9ULZ2	STAP1_HUMAN	reviewed	Signal-transducing adaptor protein 1 (STAP-1) (BCR downstream-signaling protein 1) (Docking protein BRDG1) (Stem cell adaptor protein 1)	STAP1 BRDG1	Homo sapiens (Human)	295	PH domain (1); SH2 domain (1)
Q9UGK3	STAP2_HUMAN	reviewed	Signal-transducing adaptor protein 2 (STAP-2) (Breast tumor kinase substrate) (BRK substrate)	STAP2 BKS	Homo sapiens (Human)	403	PH domain (1); SH2 domain (1)
P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750	SH2 domain (1)
P52630	STAT2_HUMAN	reviewed	Signal transducer and activator of transcription 2 (p113)	STAT2	Homo sapiens (Human)	851	SH2 domain (1)
P40763	STAT3_HUMAN	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770	SH2 domain (1)
Q14765	STAT4_HUMAN	reviewed	Signal transducer and activator of transcription 4	STAT4	Homo sapiens (Human)	748	SH2 domain (1)
P42226	STAT6_HUMAN	reviewed	Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	Homo sapiens (Human)	847	SH2 domain (1)
P42680	TEC_HUMAN	reviewed	Tyrosine-protein kinase Tec (EC 2.7.10.2)	TEC PSCTK4	Homo sapiens (Human)	631	Btk-type zinc finger (1); PH domain (1); Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q63HR2	TENC1_HUMAN	reviewed	Tensin-like C1 domain-containing phosphatase (EC 3.1.3.-) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-2)	TENC1 KIAA1075 TNS2	Homo sapiens (Human)	1409	C2 tensin-type domain (1); Phorbol-ester/DAG-type zinc finger (1); Phosphatase tensin-type domain (1); SH2 domain (1)
Q9HBL0	TENS1_HUMAN	reviewed	Tensin-1	TNS1 TNS	Homo sapiens (Human)	1735	C2 tensin-type domain (1); Phosphatase tensin-type domain (1); SH2 domain (1)
Q68CZ2	TENS3_HUMAN	reviewed	Tensin-3 (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6)	TNS3 TEM6 TENS1 TPP	Homo sapiens (Human)	1445	C2 tensin-type domain (1); Phosphatase tensin-type domain (1); SH2 domain (1)
Q8IZW8	TENS4_HUMAN	reviewed	Tensin-4 (C-terminal tensin-like protein)	TNS4 CTEN PP14434	Homo sapiens (Human)	715	Phosphatase tensin-type domain (1); SH2 domain (1)
P42681	TXK_HUMAN	reviewed	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	TXK PTK4 RLK	Homo sapiens (Human)	527	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P29597	TYK2_HUMAN	reviewed	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	1187	FERM domain (1); Protein kinase domains (2); SH2 domain (1)
P52735	VAV2_HUMAN	reviewed	Guanine nucleotide exchange factor VAV2 (VAV-2)	VAV2	Homo sapiens (Human)	878	CH (calponin-homology) domain (1); DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1); SH2 domain (1); SH3 domains (2)
